code,population,area,density
E05001728,12123,309.75,39.1
E05001729,7247,6053.43,1.2
E05001730,8288,9323.53,0.9
E05001731,7162,7916.55,0.9
E05001732,11066,2562.9,4.3
E05001733,11038,718.54,15.4
E05001734,11539,9750.8,1.2
E05001735,6793,6807.71,1
E05001736,11749,348.73,33.7
E05001737,3816,1645.96,2.3
E05001738,11326,8236.85,1.4
E05001739,13266,806.74,16.4
E05001740,11154,14086.9,0.8
E05001741,8201,1024.74,8
E05001742,11341,365.36,31
E05001743,12855,14154.04,0.9
E05001744,8482,518.76,16.4
E05001745,8604,215.9,39.9
E05001746,3906,1152.83,3.4
E05001747,13548,259.59,52.2
E05001748,3627,3137.37,1.2
E05001749,11084,429.71,25.8
E05001750,9844,246.41,39.9
E05001751,2785,624.25,4.5
E05001752,9002,199.68,45.1
E05001753,12038,1654.59,7.3
E05001754,4792,1268.44,3.8
E05001755,13725,268.74,51.1
E05001756,3668,398.65,9.2
E05001757,12832,311.31,41.2
E05001758,10677,161.72,66
E05001759,12108,1057.18,11.5
E05001760,12516,403.73,31
E05001761,3570,577.37,6.2
E05001762,10518,4795.53,2.2
E05001763,13306,1671.9,8
E05001764,8137,3383.67,2.4
E05001765,13611,277.98,49
E05001766,4153,4697.08,0.9
E05006189,3637,2876.97,1.3
E05006190,1673,15788.32,0.1
E05006191,3606,3752.86,1
E05006192,2355,1904.32,1.2
E05006193,1879,1802.85,1
E05006194,3037,15594.54,0.2
E05006195,3980,592.34,6.7
E05006196,1611,4777.5,0.3
E05006197,2168,3480.52,0.6
E05006198,3808,20339.64,0.2
E05006199,1929,10232.21,0.2
E05006200,3581,7374.4,0.5
E05006201,3356,463.06,7.2
E05006202,3485,504.02,6.9
E05006203,3771,457.84,8.2
E05006204,4011,279.57,14.3
E05006205,3714,948.82,3.9
E05006206,1874,21750.88,0.1
E05006207,1934,4818.15,0.4
E05006208,4601,1156.98,4
E05006209,2055,1497.44,1.4
E05006210,1669,4796.94,0.3
E05006211,1744,7445.73,0.2
E05006212,1728,6232.03,0.3
E05006213,4627,2823.13,1.6
E05006214,4973,4459.69,1.1
E05006215,1922,5523.21,0.3
E05006216,1940,4310.35,0.5
E05006217,3500,3438.6,1
E05006218,1966,2767.05,0.7
E05006219,1761,6789.28,0.3
E05006220,4391,452.28,9.7
E05006221,4849,512.31,9.5
E05006222,3646,913.97,4
E05006223,1764,9218.71,0.2
E05006224,3946,431.86,9.1
E05006225,3521,6496.52,0.5
E05006226,2672,3434.52,0.8
E05006227,4249,1151.95,3.7
E05006228,1919,6967.97,0.3
E05006229,5537,2443.19,2.3
E05006230,1820,11228.37,0.2
E05006231,1865,5620.76,0.3
E05006232,5988,1913.01,3.1
E05006233,1852,5812.3,0.3
E05006234,2090,3325.23,0.6
E05006235,2604,4975.37,0.5
E05006236,2078,7411.86,0.3
E05006237,1863,7566.34,0.2
E05006238,5409,432.41,12.5
E05006239,2842,5075.93,0.6
E05006240,3104,983.01,3.2
E05006241,3155,6133.67,0.5
E05006242,6417,181.87,35.3
E05006243,5750,450.69,12.8
E05006244,6264,103.65,60.4
E05006245,5596,451.34,12.4
E05006246,3306,2710.64,1.2
E05006247,3109,12574.21,0.2
E05006248,5013,359.27,14
E05006249,5106,471.31,10.8
E05006250,5555,699.47,7.9
E05006251,6028,122.51,49.2
E05006252,3246,6434.84,0.5
E05006253,2888,5694.96,0.5
E05006254,2350,11905.09,0.2
E05006255,3088,5867.19,0.5
E05006256,5486,151.47,36.2
E05006257,3125,9714.84,0.3
E05006258,3675,5919.69,0.6
E05006259,5562,624.36,8.9
E05006260,2718,15305.15,0.2
E05006261,3015,7517.91,0.4
E05006262,5362,294.79,18.2
E05006263,5053,153.07,33
E05006264,6287,545.97,11.5
E05006265,6360,268.85,23.7
E05006266,5902,179.02,33
E05006267,3100,5422.18,0.6
E05006268,6226,172.35,36.1
E05006269,5749,191.51,30
E05006270,3198,16583.24,0.2
E05006271,3479,6969.59,0.5
E05006272,5346,127.63,41.9
E05006273,1328,10236.58,0.1
E05006274,1224,2139,0.6
E05006275,1269,8060.57,0.2
E05006276,3074,3628.73,0.8
E05006277,3155,701.19,4.5
E05006278,4860,548.73,8.9
E05006279,1272,4096.37,0.3
E05006280,1184,5226.6,0.2
E05006281,1347,13687.29,0.1
E05006282,5610,1184.22,4.7
E05006283,1766,3251.13,0.5
E05006284,2554,1466.49,1.7
E05006285,1477,6465.04,0.2
E05006286,1406,3308.77,0.4
E05006287,1284,6568.61,0.2
E05006288,1183,2862.9,0.4
E05006289,1309,5790.54,0.2
E05006290,1135,13630.98,0.1
E05006291,1230,14650.31,0.1
E05006292,2833,75.03,37.8
E05006293,2681,90.33,29.7
E05006294,2899,854.09,3.4
E05006295,4810,663.93,7.2
E05006296,1075,22679.69,0
E05006297,2032,4622.1,0.4
E05006298,2153,5424.23,0.4
E05006299,1542,8501.49,0.2
E05006300,1413,18181.54,0.1
E05006301,3450,14586.75,0.2
E05006302,3066,21447.65,0.1
E05006303,1656,5586.3,0.3
E05006304,3444,2783.48,1.2
E05006305,4888,1625.08,3
E05006306,3896,395.08,9.9
E05006307,3491,752.17,4.6
E05006308,3220,1559.06,2.1
E05006309,3610,2371.52,1.5
E05006310,1743,5184.26,0.3
E05006311,1696,6019,0.3
E05006312,1980,6941.92,0.3
E05006313,1729,4790.75,0.4
E05006314,1685,8189.5,0.2
E05006315,3256,17200.94,0.2
E05006316,1801,14496.59,0.1
E05006317,4743,112.12,42.3
E05006318,4152,1990.83,2.1
E05006319,5182,46.09,112.4
E05006320,2072,13306.99,0.2
E05006321,4486,8518.96,0.5
E05006322,5610,325.55,17.2
E05006323,4255,16860.29,0.3
E05006324,4855,256.46,18.9
E05006325,6530,516.03,12.7
E05006326,2136,6636.23,0.3
E05006327,4864,7292.34,0.7
E05006328,2210,1913.63,1.2
E05006329,4652,487.4,9.5
E05006330,3418,9292.81,0.4
E05006331,6352,225.57,28.2
E05006332,4819,123.7,39
E05006333,4038,87.95,45.9
E05006334,4425,68.47,64.6
E05006335,3964,10185.99,0.4
E05006336,4647,2047,2.3
E05006337,4381,80.27,54.6
E05006338,4608,342.01,13.5
E05006339,3831,500.83,7.6
E05006340,3953,119.54,33.1
E05006341,4610,317.07,14.5
E05006342,1865,5703.31,0.3
E05006343,4163,633.63,6.6
E05006344,6052,1635.83,3.7
E05006345,4317,4128.39,1
E05006346,4636,5394.03,0.9
